account,date,payee,amount,notes,category
Checking,2025-08-05,Enterprise Rent-A-Car,-357.03,,Travel
Checking,2025-08-05,Target,-49.40,,Spending Money
Savings,2025-08-06,Downtown Pharmacy,-144.41,,Medical
Credit Card,2025-08-06,Midas Auto Service,-198.48,,Auto Maintenance
Checking,2025-08-07,iCloud Storage,-10.17,,Subscriptions
Checking,2025-08-10,Little Learners Preschool,-335.62,Tuition,Kids/Childcare
Savings,2025-08-10,Lowe's,-473.78,,Home Improvement
Savings,2025-08-14,Chevron,-15.21,,Fuel & Parking
Checking,2025-08-14,Local Pizza Co,-67.60,,Restaurants
Credit Card,2025-08-15,Local Food Bank,-92.51,Donation,Gifts/Donations
Credit Card,2025-08-16,Nordstrom Rack,-164.51,,Clothing
Credit Card,2025-08-16,Local Food Bank,-172.15,Donation,Gifts/Donations
Savings,2025-08-17,Acme Corp Payroll,2132.95,Direct deposit,Income/Paycheck
Credit Card,2025-08-18,Trader Joe's,-167.10,,Groceries
Credit Card,2025-08-18,Statewide Insurance,-116.80,Auto + home bundle,Insurance
Savings,2025-08-19,Enterprise Rent-A-Car,-451.43,,Travel
Credit Card,2025-08-19,Target,-77.15,,Spending Money
Credit Card,2025-08-19,Acme Corp Payroll,2972.20,Direct deposit,Income/Paycheck
Credit Card,2025-08-20,Meridian Property Mgmt,-1902.62,Monthly rent,Mortgage/Rent
Credit Card,2025-08-21,Summit Home Loans,-1638.66,Mortgage payment,Mortgage/Rent
Credit Card,2025-08-21,Whole Foods Market,-77.42,AplPay WHOLE FOODS,Groceries
Credit Card,2025-08-22,Acme Corp Payroll,1755.08,Direct deposit,Income/Paycheck
Savings,2025-08-22,Trader Joe's,-102.20,,Groceries
Savings,2025-08-22,Internal Transfer,-62.55,Buffer savings transfer,2 Month Buffer
Savings,2025-08-22,Statewide Insurance,-257.26,Auto + home bundle,Insurance
Credit Card,2025-08-22,GuardHealth Insurance,-118.16,Premium payment,Insurance
Credit Card,2025-08-23,Chick fil A,-71.22,,Restaurants
Credit Card,2025-08-24,Old Navy,-43.85,,Clothing
Credit Card,2025-08-24,Shell,-55.65,,Fuel & Parking
Savings,2025-08-25,Costco,-177.75,,Uncategorized
Savings,2025-08-26,Red Cross,-42.78,Donation,Gifts/Donations
Credit Card,2025-08-26,City Parking Garage,-58.58,Monthly parking,Fuel & Parking
Savings,2025-08-28,Netflix,-5.52,,Subscriptions
Credit Card,2025-08-28,Midas Auto Service,-487.26,,Auto Maintenance
Savings,2025-08-29,Starbucks,-59.02,AplPay STARBUCKS,Restaurants
Credit Card,2025-08-29,Ace Hardware,-569.90,,Home Improvement
Savings,2025-08-30,Safeway,-174.95,,Groceries
Credit Card,2025-09-02,Downtown Pharmacy,-42.05,,Medical
Credit Card,2025-09-02,Fiber Internet Co,-69.89,Internet service,Utilities
Savings,2025-09-02,Petco,-109.76,,Pets
Savings,2025-09-03,Midas Auto Service,-309.70,,Auto Maintenance
Checking,2025-09-03,Local Food Bank,-47.84,Donation,Gifts/Donations
Credit Card,2025-09-04,iCloud Storage,-12.58,,Subscriptions
Savings,2025-09-04,Fiber Internet Co,-239.30,Internet service,Utilities
Credit Card,2025-09-06,Nordstrom Rack,-133.65,,Clothing
Checking,2025-09-06,Acme Corp Payroll,2040.21,Direct deposit,Income/Paycheck
Savings,2025-09-06,Sunshine Daycare,-228.85,Weekly childcare,Kids/Childcare
Savings,2025-09-06,Target,-66.25,,Spending Money
Checking,2025-09-08,Local Bowling Alley,-101.44,,Fun Money/Entertainment
Savings,2025-09-08,Midas Auto Service,-80.54,,Auto Maintenance
Savings,2025-09-09,Costco,-132.03,,Uncategorized
Savings,2025-09-09,Delta Air Lines,-475.97,,Travel
Savings,2025-09-09,Chipotle,-48.52,,Restaurants
Savings,2025-09-10,City Water & Power,-68.86,Monthly utility bill,Utilities
Savings,2025-09-11,Riverside Animal Hospital,-172.48,Checkup,Pets
Credit Card,2025-09-11,Enterprise Rent-A-Car,-492.45,,Travel
Checking,2025-09-11,Petco,-18.53,,Pets
Savings,2025-09-12,Little Learners Preschool,-263.20,Tuition,Kids/Childcare
Checking,2025-09-12,Delta Air Lines,-480.12,,Travel
Credit Card,2025-09-13,Riverside Animal Hospital,-97.22,Checkup,Pets
Checking,2025-09-14,iCloud Storage,-6.05,,Subscriptions
Savings,2025-09-15,Riverside Family Clinic,-204.77,Copay,Medical
Credit Card,2025-09-16,Acme Corp Payroll,1603.23,Direct deposit,Income/Paycheck
Credit Card,2025-09-17,Internal Transfer,-252.74,Buffer savings transfer,2 Month Buffer
Credit Card,2025-09-17,Marriott Hotels,-481.66,,Travel
Credit Card,2025-09-17,City Parking Garage,-54.81,Monthly parking,Fuel & Parking
Credit Card,2025-09-17,Amazon,-79.56,Online order,Uncategorized
Checking,2025-09-18,Sunshine Daycare,-286.18,Weekly childcare,Kids/Childcare
Savings,2025-09-18,Riverside Animal Hospital,-106.96,Checkup,Pets
Checking,2025-09-19,Safeway,-54.39,,Groceries
Credit Card,2025-09-20,Circle K,-49.00,AplPay CIRCLE K,Fuel & Parking
Savings,2025-09-20,Chipotle,-52.63,,Restaurants
Savings,2025-09-20,Old Navy,-58.65,,Clothing
Savings,2025-09-21,Fiber Internet Co,-247.87,Internet service,Utilities
Checking,2025-09-21,Target,-31.15,,Spending Money
Savings,2025-09-21,Chick fil A,-56.91,,Restaurants
Checking,2025-09-21,Statewide Insurance,-189.35,Auto + home bundle,Insurance
Credit Card,2025-09-21,Netflix,-15.66,,Subscriptions
Checking,2025-09-22,Midas Auto Service,-240.14,,Auto Maintenance
Savings,2025-09-22,GuardHealth Insurance,-316.59,Premium payment,Insurance
Savings,2025-09-24,Little Learners Preschool,-123.43,Tuition,Kids/Childcare
Checking,2025-09-24,Riverside Animal Hospital,-196.39,Checkup,Pets
Savings,2025-09-24,Walmart,-164.37,,Uncategorized
Credit Card,2025-09-24,Costco,-53.59,,Uncategorized
Checking,2025-09-25,Riverside Animal Hospital,-53.12,Checkup,Pets
Credit Card,2025-09-25,Metro Gas Co,-215.60,Monthly utility bill,Utilities
Credit Card,2025-09-26,Old Navy,-110.59,,Clothing
Credit Card,2025-09-26,Barnes & Noble,-53.67,,Spending Money
Credit Card,2025-09-27,Amazon,-49.16,Online order,Uncategorized
Credit Card,2025-09-27,Enterprise Rent-A-Car,-796.66,,Travel
Checking,2025-09-28,Acme Corp Payroll,2931.09,Direct deposit,Income/Paycheck
Checking,2025-09-28,Statewide Insurance,-167.57,Auto + home bundle,Insurance
Credit Card,2025-09-28,Riverside Animal Hospital,-130.13,Checkup,Pets
Savings,2025-09-28,GuardHealth Insurance,-219.77,Premium payment,Insurance
Credit Card,2025-09-29,Acme Corp Payroll,1865.87,Direct deposit,Income/Paycheck
Checking,2025-09-30,Internal Transfer,-451.95,Buffer savings transfer,2 Month Buffer
Checking,2025-09-30,Red Cross,-163.55,Donation,Gifts/Donations
Checking,2025-09-30,Little Learners Preschool,-320.49,Tuition,Kids/Childcare
Credit Card,2025-10-01,Downtown Pharmacy,-23.75,,Medical
Savings,2025-10-01,Ace Hardware,-253.20,,Home Improvement
Savings,2025-10-03,Starbucks,-53.65,AplPay STARBUCKS,Restaurants
Checking,2025-10-04,Statewide Insurance,-233.10,Auto + home bundle,Insurance
Checking,2025-10-04,GuardHealth Insurance,-145.69,Premium payment,Insurance
Checking,2025-10-04,Ace Hardware,-435.19,,Home Improvement
Savings,2025-10-04,Netflix,-12.64,,Subscriptions
Checking,2025-10-04,Sunshine Daycare,-159.46,Weekly childcare,Kids/Childcare
Checking,2025-10-06,Acme Corp Payroll,1929.05,Direct deposit,Income/Paycheck
Credit Card,2025-10-06,Statewide Insurance,-314.00,Auto + home bundle,Insurance
Credit Card,2025-10-06,Etsy,-116.39,Online order,Spending Money
Savings,2025-10-06,Etsy,-115.53,Online order,Spending Money
Savings,2025-10-08,City Parking Garage,-8.21,Monthly parking,Fuel & Parking
Checking,2025-10-08,Starbucks,-83.52,AplPay STARBUCKS,Restaurants
Credit Card,2025-10-08,Riverside Family Clinic,-203.30,Copay,Medical
Checking,2025-10-09,Summit Home Loans,-1815.10,Mortgage payment,Mortgage/Rent
Savings,2025-10-09,Acme Corp Payroll,1821.17,Direct deposit,Income/Paycheck
Credit Card,2025-10-11,Sunshine Daycare,-85.06,Weekly childcare,Kids/Childcare
Credit Card,2025-10-11,Spotify,-18.16,,Subscriptions
Savings,2025-10-12,Statewide Insurance,-277.06,Auto + home bundle,Insurance
Checking,2025-10-13,Acme Corp Payroll,1314.94,Direct deposit,Income/Paycheck
Savings,2025-10-13,Summit Home Loans,-1510.63,Mortgage payment,Mortgage/Rent
Savings,2025-10-14,Riverside Family Clinic,-338.54,Copay,Medical
Savings,2025-10-14,Internal Transfer,-353.78,Buffer savings transfer,2 Month Buffer
Savings,2025-10-14,Meridian Property Mgmt,-2120.99,Monthly rent,Mortgage/Rent
Checking,2025-10-14,Spotify,-15.14,,Subscriptions
Credit Card,2025-10-14,Chick fil A,-85.03,,Restaurants
Checking,2025-10-16,Old Navy,-111.13,,Clothing
Savings,2025-10-17,Trader Joe's,-16.56,,Groceries
Savings,2025-10-17,Jiffy Lube,-106.93,Oil change,Auto Maintenance
Savings,2025-10-17,Nordstrom Rack,-57.71,,Clothing
Credit Card,2025-10-18,Old Navy,-169.80,,Clothing
Credit Card,2025-10-18,Chipotle,-25.00,,Restaurants
Savings,2025-10-18,Riverside Family Clinic,-262.91,Copay,Medical
Savings,2025-10-19,Local Bowling Alley,-137.21,,Fun Money/Entertainment
Savings,2025-10-20,Acme Corp Payroll,2081.30,Direct deposit,Income/Paycheck
Checking,2025-10-20,Etsy,-6.18,Online order,Spending Money
Savings,2025-10-21,Little Learners Preschool,-161.47,Tuition,Kids/Childcare
Savings,2025-10-22,Meridian Property Mgmt,-1620.53,Monthly rent,Mortgage/Rent
Savings,2025-10-22,Venmo,-278.96,Payment to friend,Uncategorized
Checking,2025-10-22,Jiffy Lube,-201.26,Oil change,Auto Maintenance
Credit Card,2025-10-24,Venmo,-17.04,Payment to friend,Uncategorized
Credit Card,2025-10-25,Riverside Animal Hospital,-129.75,Checkup,Pets
Credit Card,2025-10-25,GuardHealth Insurance,-194.31,Premium payment,Insurance
Credit Card,2025-10-25,Little Learners Preschool,-343.57,Tuition,Kids/Childcare
Savings,2025-10-26,Chick fil A,-19.46,,Restaurants
Savings,2025-10-26,Enterprise Rent-A-Car,-184.70,,Travel
Credit Card,2025-10-27,Acme Corp Payroll,3030.23,Direct deposit,Income/Paycheck
Checking,2025-10-28,Local Pizza Co,-9.00,,Restaurants
Credit Card,2025-10-28,Riverside Family Clinic,-164.37,Copay,Medical
Savings,2025-10-29,Riverside Animal Hospital,-75.97,Checkup,Pets
Savings,2025-10-29,Shell,-73.35,,Fuel & Parking
Savings,2025-10-29,Ace Hardware,-486.71,,Home Improvement
Savings,2025-10-30,Local Food Bank,-141.04,Donation,Gifts/Donations
Savings,2025-10-30,Ace Hardware,-313.88,,Home Improvement
Checking,2025-10-31,Riverside Family Clinic,-244.74,Copay,Medical
Savings,2025-10-31,Internal Transfer,-64.97,Transfer between own accounts,Uncategorized
Savings,2025-10-31,Starbucks,-26.04,AplPay STARBUCKS,Restaurants
Credit Card,2025-11-01,Local Pizza Co,-42.98,,Restaurants
Savings,2025-11-02,Local Food Bank,-51.99,Donation,Gifts/Donations
Credit Card,2025-11-02,Downtown Pharmacy,-168.47,,Medical
Savings,2025-11-02,Local Food Bank,-188.74,Donation,Gifts/Donations
Credit Card,2025-11-04,Nordstrom Rack,-175.51,,Clothing
Credit Card,2025-11-04,Acme Corp Payroll,2941.03,Direct deposit,Income/Paycheck
Savings,2025-11-05,Summit Home Loans,-2063.62,Mortgage payment,Mortgage/Rent
Checking,2025-11-05,Statewide Insurance,-235.33,Auto + home bundle,Insurance
Checking,2025-11-05,Netflix,-11.39,,Subscriptions
Savings,2025-11-08,Meridian Property Mgmt,-2191.42,Monthly rent,Mortgage/Rent
Credit Card,2025-11-08,Ace Hardware,-170.18,,Home Improvement
Savings,2025-11-08,Walmart,-33.50,,Uncategorized
Savings,2025-11-09,Statewide Insurance,-133.30,Auto + home bundle,Insurance
Credit Card,2025-11-10,Chevron,-44.33,,Fuel & Parking
Checking,2025-11-11,Shell,-21.92,,Fuel & Parking
Checking,2025-11-11,GuardHealth Insurance,-195.99,Premium payment,Insurance
Savings,2025-11-12,Barnes & Noble,-53.05,,Spending Money
Savings,2025-11-13,Lowe's,-257.84,,Home Improvement
Checking,2025-11-13,Chipotle,-81.68,,Restaurants
Checking,2025-11-13,Marriott Hotels,-423.74,,Travel
Savings,2025-11-14,Fiber Internet Co,-162.86,Internet service,Utilities
Checking,2025-11-14,Riverside Family Clinic,-335.56,Copay,Medical
Credit Card,2025-11-14,Internal Transfer,-215.86,Buffer savings transfer,2 Month Buffer
Credit Card,2025-11-15,Chevron,-32.67,,Fuel & Parking
Credit Card,2025-11-17,Old Navy,-168.33,,Clothing
Credit Card,2025-11-17,Netflix,-16.54,,Subscriptions
Savings,2025-11-17,iCloud Storage,-14.60,,Subscriptions
Checking,2025-11-17,Internal Transfer,-350.28,Buffer savings transfer,2 Month Buffer
Credit Card,2025-11-18,Internal Transfer,-78.78,Buffer savings transfer,2 Month Buffer
Credit Card,2025-11-19,Little Learners Preschool,-70.36,Tuition,Kids/Childcare
Credit Card,2025-11-19,Steam,-52.11,Game purchase,Fun Money/Entertainment
Checking,2025-11-21,Internal Transfer,-83.55,Buffer savings transfer,2 Month Buffer
Savings,2025-11-21,Trader Joe's,-78.70,,Groceries
Checking,2025-11-21,Internal Transfer,-406.98,Buffer savings transfer,2 Month Buffer
Credit Card,2025-11-22,Lowe's,-503.36,,Home Improvement
Checking,2025-11-22,Target,-69.52,,Spending Money
Checking,2025-11-22,Little Learners Preschool,-294.83,Tuition,Kids/Childcare
Savings,2025-11-22,Walmart,-57.60,,Uncategorized
Credit Card,2025-11-22,GuardHealth Insurance,-175.65,Premium payment,Insurance
Credit Card,2025-11-23,Steam,-143.92,Game purchase,Fun Money/Entertainment
Savings,2025-11-24,Internal Transfer,-272.42,Transfer between own accounts,Uncategorized
Credit Card,2025-11-24,Meridian Property Mgmt,-1688.45,Monthly rent,Mortgage/Rent
Credit Card,2025-11-24,Meridian Property Mgmt,-1808.08,Monthly rent,Mortgage/Rent
Savings,2025-11-24,Shell,-22.86,,Fuel & Parking
Savings,2025-11-24,Petco,-169.34,,Pets
Credit Card,2025-11-25,Chick fil A,-53.55,,Restaurants
Credit Card,2025-11-25,Starbucks,-84.12,AplPay STARBUCKS,Restaurants
Credit Card,2025-11-25,Netflix,-19.22,,Subscriptions
Checking,2025-11-25,Internal Transfer,-90.96,Transfer between own accounts,Uncategorized
Savings,2025-11-26,Sunshine Daycare,-245.15,Weekly childcare,Kids/Childcare
Checking,2025-11-28,Internal Transfer,-34.72,Transfer between own accounts,Uncategorized
Checking,2025-11-28,Netflix,-19.09,,Subscriptions
Savings,2025-11-28,Internal Transfer,-419.02,Buffer savings transfer,2 Month Buffer
Credit Card,2025-11-29,Old Navy,-116.08,,Clothing
Savings,2025-11-29,Chick fil A,-38.26,,Restaurants
Savings,2025-11-29,Statewide Insurance,-288.38,Auto + home bundle,Insurance
Checking,2025-11-30,Fiber Internet Co,-120.20,Internet service,Utilities
Credit Card,2025-11-30,Riverside Family Clinic,-164.87,Copay,Medical
Credit Card,2025-12-01,Riverside Animal Hospital,-75.10,Checkup,Pets
Credit Card,2025-12-02,Petco,-146.28,,Pets
Checking,2025-12-02,Red Cross,-118.02,Donation,Gifts/Donations
Checking,2025-12-04,Old Navy,-164.40,,Clothing
Savings,2025-12-04,Venmo,-298.92,Payment to friend,Uncategorized
Savings,2025-12-04,Chevron,-35.80,,Fuel & Parking
Savings,2025-12-05,Lowe's,-328.44,,Home Improvement
Credit Card,2025-12-07,Riverside Animal Hospital,-115.50,Checkup,Pets
Savings,2025-12-07,Bright Smile Dental,-352.42,Cleaning,Medical
Checking,2025-12-08,Metro Gas Co,-55.37,Monthly utility bill,Utilities
Checking,2025-12-08,Red Cross,-56.95,Donation,Gifts/Donations
Checking,2025-12-09,Jiffy Lube,-381.52,Oil change,Auto Maintenance
Savings,2025-12-09,Riverside Family Clinic,-93.87,Copay,Medical
Checking,2025-12-10,Costco,-233.65,,Uncategorized
Checking,2025-12-10,Ace Hardware,-526.14,,Home Improvement
Credit Card,2025-12-11,Enterprise Rent-A-Car,-579.02,,Travel
Checking,2025-12-11,AMC Theatres,-26.60,,Fun Money/Entertainment
Credit Card,2025-12-12,Downtown Pharmacy,-114.23,,Medical
Credit Card,2025-12-13,Local Pizza Co,-87.91,,Restaurants
Checking,2025-12-13,Riverside Animal Hospital,-140.73,Checkup,Pets
Checking,2025-12-13,Midas Auto Service,-246.71,,Auto Maintenance
Checking,2025-12-14,Delta Air Lines,-817.59,,Travel
Savings,2025-12-14,Lowe's,-385.15,,Home Improvement
Checking,2025-12-14,Midas Auto Service,-86.73,,Auto Maintenance
Savings,2025-12-15,Little Learners Preschool,-286.02,Tuition,Kids/Childcare
Credit Card,2025-12-16,Acme Corp Payroll,2177.90,Direct deposit,Income/Paycheck
Savings,2025-12-17,Chevron,-56.18,,Fuel & Parking
Credit Card,2025-12-18,Spotify,-22.43,,Subscriptions
Savings,2025-12-18,Summit Home Loans,-1463.50,Mortgage payment,Mortgage/Rent
Checking,2025-12-18,Bright Smile Dental,-250.01,Cleaning,Medical
Credit Card,2025-12-18,Target,-28.58,,Spending Money
Checking,2025-12-19,Statewide Insurance,-257.06,Auto + home bundle,Insurance
Credit Card,2025-12-19,Metro Gas Co,-136.18,Monthly utility bill,Utilities
Credit Card,2025-12-20,Enterprise Rent-A-Car,-106.31,,Travel
Checking,2025-12-20,Netflix,-10.62,,Subscriptions
Checking,2025-12-20,Ace Hardware,-75.05,,Home Improvement
Credit Card,2025-12-20,Little Learners Preschool,-63.89,Tuition,Kids/Childcare
Checking,2025-12-21,Acme Corp Payroll,2047.66,Direct deposit,Income/Paycheck
Savings,2025-12-22,Netflix,-6.00,,Subscriptions
Checking,2025-12-22,Internal Transfer,-321.57,Buffer savings transfer,2 Month Buffer
Savings,2025-12-22,Kroger,-77.38,,Groceries
Savings,2025-12-23,Summit Home Loans,-1972.60,Mortgage payment,Mortgage/Rent
Savings,2025-12-24,Midas Auto Service,-197.86,,Auto Maintenance
Credit Card,2025-12-26,Ace Hardware,-381.01,,Home Improvement
Savings,2025-12-27,Safeway,-145.79,,Groceries
Savings,2025-12-27,Meridian Property Mgmt,-1793.15,Monthly rent,Mortgage/Rent
Credit Card,2025-12-27,Nordstrom Rack,-29.41,,Clothing
Checking,2025-12-28,Petco,-186.13,,Pets
Credit Card,2025-12-28,Netflix,-19.44,,Subscriptions
Savings,2025-12-28,Acme Corp Payroll,1701.60,Direct deposit,Income/Paycheck
Savings,2025-12-29,Venmo,-128.67,Payment to friend,Uncategorized
Credit Card,2025-12-30,Downtown Pharmacy,-391.85,,Medical
Savings,2025-12-30,Local Food Bank,-125.55,Donation,Gifts/Donations
Credit Card,2025-12-30,AMC Theatres,-81.35,,Fun Money/Entertainment
Savings,2025-12-30,Internal Transfer,-488.45,Buffer savings transfer,2 Month Buffer
Credit Card,2025-12-31,Chick fil A,-47.91,,Restaurants
Savings,2025-12-31,Enterprise Rent-A-Car,-141.15,,Travel
Savings,2026-01-01,Ace Hardware,-117.27,,Home Improvement
Savings,2026-01-01,Riverside Family Clinic,-84.18,Copay,Medical
Savings,2026-01-01,Marriott Hotels,-643.16,,Travel
Checking,2026-01-01,Amazon,-159.55,Online order,Uncategorized
Checking,2026-01-02,Trader Joe's,-124.29,,Groceries
Credit Card,2026-01-02,Ace Hardware,-585.87,,Home Improvement
Credit Card,2026-01-03,Internal Transfer,-121.26,Buffer savings transfer,2 Month Buffer
Credit Card,2026-01-03,Netflix,-17.55,,Subscriptions
Credit Card,2026-01-04,Internal Transfer,-489.90,Buffer savings transfer,2 Month Buffer
Checking,2026-01-04,Midas Auto Service,-438.78,,Auto Maintenance
Savings,2026-01-04,Kroger,-20.83,,Groceries
Credit Card,2026-01-05,Little Learners Preschool,-81.59,Tuition,Kids/Childcare
Credit Card,2026-01-05,Riverside Family Clinic,-209.74,Copay,Medical
Savings,2026-01-07,Statewide Insurance,-170.33,Auto + home bundle,Insurance
Savings,2026-01-07,Target,-77.69,,Spending Money
Credit Card,2026-01-07,Nordstrom Rack,-116.97,,Clothing
Credit Card,2026-01-07,Old Navy,-162.19,,Clothing
Credit Card,2026-01-07,Delta Air Lines,-645.07,,Travel
Savings,2026-01-08,GuardHealth Insurance,-109.49,Premium payment,Insurance
Savings,2026-01-09,Summit Home Loans,-2128.00,Mortgage payment,Mortgage/Rent
Credit Card,2026-01-09,Petco,-183.37,,Pets
Credit Card,2026-01-09,Statewide Insurance,-156.51,Auto + home bundle,Insurance
Credit Card,2026-01-09,Enterprise Rent-A-Car,-114.86,,Travel
Checking,2026-01-10,Delta Air Lines,-367.45,,Travel
Credit Card,2026-01-10,Spotify,-6.91,,Subscriptions
Checking,2026-01-11,Internal Transfer,-262.68,Buffer savings transfer,2 Month Buffer
Checking,2026-01-11,Costco,-140.22,,Uncategorized
Checking,2026-01-11,Amazon,-255.45,Online order,Uncategorized
Credit Card,2026-01-11,Chick fil A,-64.01,,Restaurants
Checking,2026-01-11,Riverside Animal Hospital,-77.29,Checkup,Pets
Checking,2026-01-12,Petco,-29.91,,Pets
Savings,2026-01-13,Whole Foods Market,-167.88,AplPay WHOLE FOODS,Groceries
Savings,2026-01-13,Ace Hardware,-261.75,,Home Improvement
Savings,2026-01-13,Amazon,-276.65,Online order,Uncategorized
Checking,2026-01-14,Petco,-69.70,,Pets
Savings,2026-01-14,Little Learners Preschool,-296.08,Tuition,Kids/Childcare
Credit Card,2026-01-14,Enterprise Rent-A-Car,-336.63,,Travel
Checking,2026-01-14,Trader Joe's,-157.21,,Groceries
Credit Card,2026-01-15,Starbucks,-18.80,AplPay STARBUCKS,Restaurants
Checking,2026-01-15,Midas Auto Service,-337.57,,Auto Maintenance
Savings,2026-01-15,Metro Gas Co,-79.47,Monthly utility bill,Utilities
Credit Card,2026-01-15,Riverside Animal Hospital,-45.67,Checkup,Pets
Checking,2026-01-16,Netflix,-23.26,,Subscriptions
Savings,2026-01-16,Petco,-114.20,,Pets
Savings,2026-01-16,Costco,-60.30,,Uncategorized
Savings,2026-01-16,Circle K,-60.11,AplPay CIRCLE K,Fuel & Parking
Checking,2026-01-16,Steam,-120.38,Game purchase,Fun Money/Entertainment
Savings,2026-01-17,Whole Foods Market,-122.16,AplPay WHOLE FOODS,Groceries
Checking,2026-01-17,Circle K,-33.03,AplPay CIRCLE K,Fuel & Parking
Savings,2026-01-18,Amazon,-25.02,Online order,Uncategorized
Credit Card,2026-01-18,Shell,-18.86,,Fuel & Parking
Checking,2026-01-19,Kroger,-106.76,,Groceries
Savings,2026-01-19,Local Bowling Alley,-129.62,,Fun Money/Entertainment
Credit Card,2026-01-21,Internal Transfer,-52.09,Transfer between own accounts,Uncategorized
Checking,2026-01-21,Nordstrom Rack,-109.17,,Clothing
Checking,2026-01-21,Old Navy,-112.28,,Clothing
Savings,2026-01-21,Downtown Pharmacy,-199.02,,Medical
Checking,2026-01-22,Riverside Family Clinic,-162.12,Copay,Medical
Credit Card,2026-01-23,Downtown Pharmacy,-381.60,,Medical
Savings,2026-01-23,Local Food Bank,-241.20,Donation,Gifts/Donations
Credit Card,2026-01-24,Old Navy,-107.68,,Clothing
Credit Card,2026-01-25,Starbucks,-13.14,AplPay STARBUCKS,Restaurants
Savings,2026-01-26,Meridian Property Mgmt,-1737.29,Monthly rent,Mortgage/Rent
Savings,2026-01-27,Acme Corp Payroll,2460.79,Direct deposit,Income/Paycheck
Checking,2026-01-27,Internal Transfer,-207.15,Buffer savings transfer,2 Month Buffer
Checking,2026-01-27,Local Bowling Alley,-96.97,,Fun Money/Entertainment
Checking,2026-01-29,Circle K,-51.82,AplPay CIRCLE K,Fuel & Parking
Checking,2026-01-29,Internal Transfer,-293.66,Transfer between own accounts,Uncategorized
Credit Card,2026-01-30,Downtown Pharmacy,-46.03,,Medical
Savings,2026-01-30,Fiber Internet Co,-255.11,Internet service,Utilities
Credit Card,2026-01-30,Kroger,-91.40,,Groceries
Savings,2026-01-30,Steam,-113.09,Game purchase,Fun Money/Entertainment
Credit Card,2026-01-31,Statewide Insurance,-218.52,Auto + home bundle,Insurance
Checking,2026-02-02,Spotify,-10.90,,Subscriptions
Credit Card,2026-02-03,Sunshine Daycare,-355.99,Weekly childcare,Kids/Childcare
Checking,2026-02-03,Riverside Animal Hospital,-197.57,Checkup,Pets
Checking,2026-02-04,Summit Home Loans,-1862.15,Mortgage payment,Mortgage/Rent
Savings,2026-02-04,Metro Gas Co,-252.10,Monthly utility bill,Utilities
Checking,2026-02-05,Chick fil A,-21.19,,Restaurants
Credit Card,2026-02-05,Internal Transfer,-417.42,Buffer savings transfer,2 Month Buffer
Savings,2026-02-06,Jiffy Lube,-480.22,Oil change,Auto Maintenance
Checking,2026-02-08,Metro Gas Co,-221.18,Monthly utility bill,Utilities
Checking,2026-02-09,Acme Corp Payroll,1839.35,Direct deposit,Income/Paycheck
Savings,2026-02-09,Internal Transfer,-269.89,Buffer savings transfer,2 Month Buffer
Checking,2026-02-09,Local Bowling Alley,-147.24,,Fun Money/Entertainment
Checking,2026-02-09,Petco,-42.39,,Pets
Credit Card,2026-02-09,Sunshine Daycare,-312.24,Weekly childcare,Kids/Childcare
Credit Card,2026-02-10,Riverside Animal Hospital,-114.30,Checkup,Pets
Credit Card,2026-02-11,Starbucks,-12.09,AplPay STARBUCKS,Restaurants
Credit Card,2026-02-11,Circle K,-32.80,AplPay CIRCLE K,Fuel & Parking
Checking,2026-02-11,Petco,-162.97,,Pets
Savings,2026-02-12,Lowe's,-489.99,,Home Improvement
Checking,2026-02-12,Midas Auto Service,-327.60,,Auto Maintenance
Checking,2026-02-12,Meridian Property Mgmt,-2016.24,Monthly rent,Mortgage/Rent
Checking,2026-02-13,Chipotle,-73.32,,Restaurants
Checking,2026-02-13,Chevron,-40.81,,Fuel & Parking
Credit Card,2026-02-14,Barnes & Noble,-113.14,,Spending Money
Savings,2026-02-14,Lowe's,-21.31,,Home Improvement
Checking,2026-02-14,City Parking Garage,-22.76,Monthly parking,Fuel & Parking
Credit Card,2026-02-15,Steam,-26.99,Game purchase,Fun Money/Entertainment
Savings,2026-02-15,Summit Home Loans,-1557.19,Mortgage payment,Mortgage/Rent
Savings,2026-02-16,City Water & Power,-250.33,Monthly utility bill,Utilities
Savings,2026-02-19,Barnes & Noble,-119.02,,Spending Money
Savings,2026-02-19,Summit Home Loans,-1588.72,Mortgage payment,Mortgage/Rent
Checking,2026-02-19,Meridian Property Mgmt,-1454.15,Monthly rent,Mortgage/Rent
Checking,2026-02-21,Jiffy Lube,-530.36,Oil change,Auto Maintenance
Checking,2026-02-21,Walmart,-50.39,,Uncategorized
Savings,2026-02-22,Riverside Family Clinic,-103.45,Copay,Medical
Checking,2026-02-23,Local Food Bank,-213.61,Donation,Gifts/Donations
Credit Card,2026-02-24,Local Pizza Co,-54.88,,Restaurants
Savings,2026-02-24,Riverside Animal Hospital,-162.21,Checkup,Pets
Credit Card,2026-02-24,Acme Corp Payroll,1322.23,Direct deposit,Income/Paycheck
Credit Card,2026-02-25,Safeway,-112.02,,Groceries
Credit Card,2026-02-25,Internal Transfer,-93.46,Buffer savings transfer,2 Month Buffer
Checking,2026-02-26,Internal Transfer,-244.23,Buffer savings transfer,2 Month Buffer
Savings,2026-02-27,Local Bowling Alley,-55.87,,Fun Money/Entertainment
